Date Time;Location Name;Latitude;Longitude;Height Above Ground;Value
2021/10/27 05:41:23;Al Ruwais City ;24,099442;52,669165;1;0,007243877
2021/10/27 05:41:25;Al Ruwais City ;24,099426;52,669221;1;0,01037548
2021/10/27 05:41:27;Al Ruwais City ;24,099395;52,669300;1;0,007558586
2021/10/27 05:41:29;Al Ruwais City ;24,099348;52,669418;1;0,006795981
2021/10/27 05:41:31;Al Ruwais City ;24,099301;52,669551;1;0,007201659
2021/10/27 05:41:33;Al Ruwais City ;24,099259;52,669696;1;0,008229623
2021/10/27 05:41:35;Al Ruwais City ;24,099212;52,669859;1;0,007910803
2021/10/27 05:41:37;Al Ruwais City ;24,099155;52,670034;1;0,008527496
2021/10/27 05:41:39;Al Ruwais City ;24,099092;52,670212;1;0,008041254
2021/10/27 05:41:41;Al Ruwais City ;24,099033;52,670410;1;0,008211154
2021/10/27 05:41:43;Al Ruwais City ;24,098970;52,670602;1;0,008233253
2021/10/27 05:41:45;Al Ruwais City ;24,098905;52,670798;1;0,008143188
2021/10/27 05:41:47;Al Ruwais City ;24,098845;52,670993;1;0,007809461
2021/10/27 05:41:49;Al Ruwais City ;24,098783;52,671184;1;0,008473493
2021/10/27 05:41:51;Al Ruwais City ;24,098717;52,671385;1;0,007949103
2021/10/27 05:41:54;Al Ruwais City ;24,098631;52,671676;1;0,00837789
2021/10/27 05:41:56;Al Ruwais City ;24,098572;52,671874;1;0,008236149
2021/10/27 05:41:58;Al Ruwais City ;24,098513;52,672066;1;0,008289451
2021/10/27 05:42:00;Al Ruwais City ;24,098457;52,672267;1;0,009154753
2021/10/27 05:42:02;Al Ruwais City ;24,098393;52,672463;1;0,008430336
2021/10/27 05:42:04;Al Ruwais City ;24,098335;52,672668;1;0,007772273
2021/10/27 05:42:06;Al Ruwais City ;24,098278;52,672875;1;0,00785558
2021/10/27 05:42:08;Al Ruwais City ;24,098229;52,673082;1;0,007590704
2021/10/27 05:42:10;Al Ruwais City ;24,098176;52,673283;1;0,008109183
2021/10/27 05:42:12;Al Ruwais City ;24,098126;52,673484;1;0,007806679
2021/10/27 05:42:14;Al Ruwais City ;24,098076;52,673689;1;0,008111493
2021/10/27 05:42:16;Al Ruwais City ;24,098022;52,673898;1;0,008257927
2021/10/27 05:42:18;Al Ruwais City ;24,097970;52,674110;1;0,009300389
2021/10/27 05:42:20;Al Ruwais City ;24,097927;52,674323;1;0,008379376
2021/10/27 05:42:22;Al Ruwais City ;24,097883;52,674542;1;0,008563714
2021/10/27 05:42:24;Al Ruwais City ;24,097837;52,674763;1;0,009184304
2021/10/27 05:42:26;Al Ruwais City ;24,097789;52,674986;1;0,008126009
2021/10/27 05:42:28;Al Ruwais City ;24,097741;52,675212;1;0,007606243
2021/10/27 05:42:30;Al Ruwais City ;24,097701;52,675438;1;0,008701777
2021/10/27 05:42:32;Al Ruwais City ;24,097656;52,675663;1;0,007683971
2021/10/27 05:42:34;Al Ruwais City ;24,097617;52,675882;1;0,007796604
2021/10/27 05:42:36;Al Ruwais City ;24,097580;52,676097;1;0,008383833
2021/10/27 05:42:38;Al Ruwais City ;24,097543;52,676308;1;0,008729629
2021/10/27 05:42:40;Al Ruwais City ;24,097504;52,676520;1;0,007386635
2021/10/27 05:42:42;Al Ruwais City ;24,097473;52,676717;1;0,008277802
2021/10/27 05:42:44;Al Ruwais City ;24,097441;52,676917;1;0,007659205
2021/10/27 05:42:46;Al Ruwais City ;24,097411;52,677125;1;0,008066717
2021/10/27 05:42:48;Al Ruwais City ;24,097383;52,677322;1;0,00877763
2021/10/27 05:42:50;Al Ruwais City ;24,097354;52,677517;1;0,008671488
2021/10/27 05:42:52;Al Ruwais City ;24,097321;52,677726;1;0,008785731
2021/10/27 05:42:54;Al Ruwais City ;24,097292;52,677948;1;0,008006299
2021/10/27 05:42:56;Al Ruwais City ;24,097257;52,678187;1;0,007295152
2021/10/27 05:42:58;Al Ruwais City ;24,097235;52,678434;1;0,008191012
2021/10/27 05:43:00;Al Ruwais City ;24,097208;52,678673;1;0,00771523
2021/10/27 05:43:02;Al Ruwais City ;24,097181;52,678918;1;0,008811539
2021/10/27 05:43:04;Al Ruwais City ;24,097146;52,679167;1;0,007873184
2021/10/27 05:43:06;Al Ruwais City ;24,097113;52,679421;1;0,008339044
2021/10/27 05:43:08;Al Ruwais City ;24,097084;52,679686;1;0,009120015
2021/10/27 05:43:10;Al Ruwais City ;24,097062;52,679947;1;0,008768223
2021/10/27 05:43:12;Al Ruwais City ;24,097036;52,680208;1;0,00843963
2021/10/27 05:43:14;Al Ruwais City ;24,097014;52,680455;1;0,008272975
2021/10/27 05:43:16;Al Ruwais City ;24,097000;52,680706;1;0,00949488
2021/10/27 05:43:18;Al Ruwais City ;24,096980;52,680961;1;0,007839259
2021/10/27 05:43:20;Al Ruwais City ;24,096963;52,681214;1;0,007943665
2021/10/27 05:43:22;Al Ruwais City ;24,096946;52,681467;1;0,008674939
2021/10/27 05:43:24;Al Ruwais City ;24,096932;52,681722;1;0,008408719
2021/10/27 05:43:26;Al Ruwais City ;24,096923;52,681976;1;0,008352144
2021/10/27 05:43:28;Al Ruwais City ;24,096916;52,682229;1;0,008720521
2021/10/27 05:43:30;Al Ruwais City ;24,096899;52,682491;1;0,007919024
2021/10/27 05:43:32;Al Ruwais City ;24,096890;52,682760;1;0,008293424
2021/10/27 05:43:34;Al Ruwais City ;24,096876;52,683031;1;0,007981356
2021/10/27 05:43:36;Al Ruwais City ;24,096860;52,683301;1;0,008400521
2021/10/27 05:43:38;Al Ruwais City ;24,096840;52,683574;1;0,008793803
2021/10/27 05:43:40;Al Ruwais City ;24,096828;52,683838;1;0,008942952
2021/10/27 05:43:42;Al Ruwais City ;24,096819;52,684104;1;0,007959889
2021/10/27 05:43:44;Al Ruwais City ;24,096803;52,684364;1;0,008657354
2021/10/27 05:43:46;Al Ruwais City ;24,096785;52,684621;1;0,008047763
2021/10/27 05:43:48;Al Ruwais City ;24,096776;52,684877;1;0,008675624
2021/10/27 05:43:50;Al Ruwais City ;24,096767;52,685135;1;0,008115549
2021/10/27 05:43:52;Al Ruwais City ;24,096753;52,685381;1;0,007904343
2021/10/27 05:43:54;Al Ruwais City ;24,096742;52,685610;1;0,008638891
2021/10/27 05:43:56;Al Ruwais City ;24,096734;52,685837;1;0,008326467
2021/10/27 05:43:58;Al Ruwais City ;24,096725;52,686045;1;0,007796878
2021/10/27 05:44:00;Al Ruwais City ;24,096718;52,686257;1;0,008614676
2021/10/27 05:44:02;Al Ruwais City ;24,096703;52,686458;1;0,008027074
2021/10/27 05:44:04;Al Ruwais City ;24,096691;52,686609;1;0,008740201
2021/10/27 05:44:06;Al Ruwais City ;24,096681;52,686681;1;0,008486245
2021/10/27 05:44:08;Al Ruwais City ;24,096678;52,686707;1;0,009906413
2021/10/27 05:44:10;Al Ruwais City ;24,096678;52,686708;1;0,008491573
2021/10/27 05:44:12;Al Ruwais City ;24,096679;52,686710;1;0,009664763
2021/10/27 05:44:14;Al Ruwais City ;24,096676;52,686718;1;0,009746972
2021/10/27 05:44:16;Al Ruwais City ;24,096682;52,686760;1;0,009496089
2021/10/27 05:44:18;Al Ruwais City ;24,096685;52,686836;1;0,01047991
2021/10/27 05:44:20;Al Ruwais City ;24,096676;52,686930;1;0,01000565
2021/10/27 05:44:22;Al Ruwais City ;24,096668;52,687061;1;0,009218404
2021/10/27 05:44:24;Al Ruwais City ;24,096663;52,687204;1;0,009550806
2021/10/27 05:44:26;Al Ruwais City ;24,096657;52,687355;1;0,01024532
2021/10/27 05:44:28;Al Ruwais City ;24,096653;52,687523;1;0,007984442
2021/10/27 05:44:30;Al Ruwais City ;24,096651;52,687690;1,00;0,008820392
2021/10/27 05:44:32;Al Ruwais City ;24,096641;52,687833;1;0,01002899
2021/10/27 05:44:34;Al Ruwais City ;24,096632;52,687952;1;0,009842098
2021/10/27 05:44:36;Al Ruwais City ;24,096632;52,688085;1;0,01022995
2021/10/27 05:44:38;Al Ruwais City ;24,096627;52,688249;1;0,009855269
2021/10/27 05:44:40;Al Ruwais City ;24,096616;52,688416;1;0,009957755
2021/10/27 05:44:42;Al Ruwais City ;24,096604;52,688585;1;0,008498471
2021/10/27 05:44:44;Al Ruwais City ;24,096599;52,688779;1;0,009124851
2021/10/27 05:44:46;Al Ruwais City ;24,096588;52,688987;1;0,009307878
2021/10/27 05:44:48;Al Ruwais City ;24,096580;52,689194;1;0,008424251
2021/10/27 05:44:50;Al Ruwais City ;24,096567;52,689390;1;0,008776955
